Record Id,Account Name,Client Segment Type,Account Owner
zcrm_4508063000109315008,Shoptology,Automater,Whitney Giordano
zcrm_4508063000094477806,Ironwood Insights Group,Automater,Bud Conner
zcrm_4508063000087278239,Finch Brands,Automater,Courtney Hocking
zcrm_4508063000049301099,Marcus Thomas LLC,Automater,Courtney Hocking
zcrm_4508063000019791917,Stormy Lake Consulting,Automater,Courtney Hocking
zcrm_4508063000003682337,aytm,Automater,Scott Stein
zcrm_4508063000003677052,J.D. Power,Automater,Danielle Chinitz
zcrm_4508063000003674250,Morning Consult,Automater,Scott Stein
zcrm_4508063000000533797,"Troy Research, LLC",Automater,Bud Conner
zcrm_4508063000000532272,Rakuten,Automater,Whitney Giordano
zcrm_4508063000000528725,Ipsos,Automater,Kenneth Berry
zcrm_4508063000000528231,HarrisX,Automater,Whitney Giordano
zcrm_4508063000000527533,Escalent Inc.,Automater,Danielle Chinitz
zcrm_4508063000000526115,"Brookmark Research Services, LLC",Automater,Bud Conner
zcrm_4508063000000524670,Banner Health,Automater,Bud Conner
zcrm_4508063000111772356,Potloc Inc.,Blender,Scott Stein
zcrm_4508063000090328001,AMG Research,Blender,Danielle Chinitz
zcrm_4508063000081174001,Responsive Management,Blender,Zach Janson
zcrm_4508063000050511080,"LGBTQ, Inc, DBA Community Marketing & Insights",Blender,Bud Conner
zcrm_4508063000047321087,CuriosityCX,Blender,Courtney Hocking
zcrm_4508063000027974001,Acuity Knowledge Partners,Blender,Bud Conner
zcrm_4508063000008554013,C+R Research,Blender,Danielle Chinitz
zcrm_4508063000003683160,"Harmon Research Group, LLC",Blender,Scott Stein
zcrm_4508063000003683064,Intellisurvey,Blender,Courtney Hocking
zcrm_4508063000003682349,Toluna Inc.,Blender,Scott Stein
zcrm_4508063000003681136,Altman Solon,Blender,Danielle Chinitz
zcrm_4508063000003680911,MarketVision Research,Blender,Courtney Hocking
zcrm_4508063000003680085,"ROI Rocket.com, LLC",Blender,Danielle Chinitz
zcrm_4508063000003679753,"APCO Worldwide, LLC",Blender,Danielle Chinitz
zcrm_4508063000003678700,EnsembleIQ Inc.,Blender,Scott Stein
zcrm_4508063000003678082,Management Insight Technologies,Blender,Whitney Giordano
zcrm_4508063000003677947,Inspired Insight,Blender,Whitney Giordano
zcrm_4508063000003677070,Illuminas Global,Blender,Bud Conner
zcrm_4508063000003676170,Advanis Inc,Blender,Whitney Giordano
zcrm_4508063000003676140,Mathew Greenwald & Associates Inc.,Blender,Whitney Giordano
zcrm_4508063000003675145,Chadwick Martin Bailey,Blender,Whitney Giordano
zcrm_4508063000003675061,"MDRG, Inc.",Blender,Courtney Hocking
zcrm_4508063000003674178,RTi Research,Blender,Whitney Giordano
zcrm_4508063000003674166,Claritas,Blender,Bud Conner
zcrm_4508063000003673160,Comscore,Blender,Danielle Chinitz
zcrm_4508063000003673052,Lewis Communications,Blender,Danielle Chinitz
zcrm_4508063000003672229,Human8,Blender,Danielle Chinitz
zcrm_4508063000003672223,SKIM Group,Blender,Zach Janson
zcrm_4508063000003672146,Harris Insights & Analytics,Blender,Whitney Giordano
zcrm_4508063000000539433,HealthFocus International,Blender,Bud Conner
zcrm_4508063000000533551,PARAGRAPH Project,Blender,Courtney Hocking
zcrm_4508063000000532356,Research & Marketing Strategies Inc.,Blender,Bud Conner
zcrm_4508063000000532049,Probolsky Research,Blender,Bud Conner
zcrm_4508063000000531416,MMR Research Associates Inc.,Blender,Courtney Hocking
zcrm_4508063000000531030,MarketView Research,Blender,Courtney Hocking
zcrm_4508063000000530765,"M/A/R/C Research, LLC",Blender,Danielle Chinitz
zcrm_4508063000000527966,"Global Strategy Group, LLC",Blender,Bud Conner
zcrm_4508063000000527465,Emicity,Blender,Whitney Giordano
zcrm_4508063000000527375,Edelman Data & Intelligence-DxI,Blender,Bud Conner
zcrm_4508063000000527091,Deft Research,Blender,Bud Conner
zcrm_4508063000000524767,Benenson Strategy Group,Blender,Scott Stein
zcrm_4508063000000524158,Action Based Research,Blender,Courtney Hocking
zcrm_4508063000171428007,Familiar Machines & Magic Inc.,One Stop Shopper,Danielle Chinitz
zcrm_4508063000141588456,"CurioLab Insights, LLC",One Stop Shopper,Scott Stein
zcrm_4508063000134929040,Lightning Strike Insights,One Stop Shopper,Courtney Hocking
zcrm_4508063000131655145,HoneyComb Strategies Inc.,One Stop Shopper,Courtney Hocking
zcrm_4508063000130954003,Jack Du,One Stop Shopper,Kenneth Berry
zcrm_4508063000129236016,Craigville Advisory,One Stop Shopper,Courtney Hocking
zcrm_4508063000128996001,Siberia.io,One Stop Shopper,Courtney Hocking
zcrm_4508063000128639177,"Emerald Research Group, LLC",One Stop Shopper,Whitney Giordano
zcrm_4508063000117362047,Brightside Research Solutions,One Stop Shopper,Courtney Hocking
zcrm_4508063000113008494,LaunchBox,One Stop Shopper,Danielle Chinitz
zcrm_4508063000108360007,Reservoir Communications Group,One Stop Shopper,Danielle Chinitz
zcrm_4508063000107811216,"Intercom, Inc.",One Stop Shopper,Danielle Chinitz
zcrm_4508063000106634001,dcdx,One Stop Shopper,Courtney Hocking
zcrm_4508063000104947001,Fusion92,One Stop Shopper,Courtney Hocking
zcrm_4508063000104345186,Near Next LLC,One Stop Shopper,Courtney Hocking
zcrm_4508063000094436003,Copeland,One Stop Shopper,Bud Conner
